shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
10,-78.514030,38.032340,71
10,-78.513620,38.032240,72
10,-78.513480,38.032220,73
10,-78.512770,38.032200,74
10,-78.512230,38.032140,75
10,-78.512110,38.032110,76
10,-78.511021,38.031488,77
10,-78.512185,38.030678,78
10,-78.513539,38.029786,79
10,-78.514000,38.029595,80
10,-78.514713,38.029493,81
10,-78.515866,38.030195,82
10,-78.516319,38.029400,83
10,-78.516430,38.029120,84
10,-78.516470,38.028680,85
10,-78.516460,38.027590,86
10,-78.516390,38.027390,87
10,-78.516360,38.027270,88
10,-78.516099,38.027110,89
10,-78.515620,38.026790,90
10,-78.515490,38.026690,91
10,-78.515320,38.026500,92
10,-78.514979,38.025890,93
10,-78.514920,38.025890,94
10,-78.514820,38.025900,95
10,-78.514619,38.025930,96
10,-78.514490,38.025950,97
10,-78.513310,38.026350,98
10,-78.512820,38.026660,99
10,-78.512350,38.026950,100
10,-78.511250,38.027630,101
10,-78.510570,38.028050,102
10,-78.509950,38.028440,103
10,-78.509580,38.028810,104
10,-78.509250,38.029280,105
10,-78.508220,38.030810,106
10,-78.507949,38.031280,107
10,-78.507690,38.031690,108
10,-78.507580,38.032020,109
10,-78.507490,38.032070,110
10,-78.507400,38.032090,111
10,-78.506790,38.032120,112
10,-78.506390,38.032100,113
10,-78.505910,38.032070,114
10,-78.504600,38.032030,115
10,-78.503640,38.032030,116
10,-78.502710,38.032070,117
10,-78.501780,38.032100,118
10,-78.499760,38.032680,119
10,-78.498840,38.032910,120
10,-78.497730,38.033250,121
10,-78.498320,38.033420,122
10,-78.498890,38.033660,123
10,-78.499540,38.033990,124
10,-78.499200,38.034750,125
10,-78.498670,38.035710,126
10,-78.498480,38.036090,127
10,-78.497890,38.037240,128
10,-78.497870,38.037280,129
10,-78.497610,38.037770,130
10,-78.496770,38.039210,131
10,-78.496200,38.040150,132
10,-78.495900,38.040710,133
10,-78.495820,38.040820,134
10,-78.495710,38.040940,135
10,-78.495560,38.041050,136
10,-78.494249,38.041820,137
10,-78.494050,38.041870,138
10,-78.493810,38.041880,139
10,-78.492947,38.041829,140
12,-78.504780,38.036190,1
12,-78.505750,38.034600,2
12,-78.505840,38.034510,3
12,-78.505990,38.034380,4
12,-78.506310,38.034230,5
12,-78.506650,38.034090,6
12,-78.507000,38.033930,7
12,-78.507260,38.033810,8
12,-78.507490,38.033710,9
12,-78.507710,38.033670,10
12,-78.507960,38.033650,11
12,-78.508450,38.033690,12
12,-78.508890,38.033710,13
12,-78.509630,38.033730,14
12,-78.510150,38.033770,15
12,-78.510510,38.033860,16
12,-78.510900,38.033980,17
12,-78.511080,38.034030,18
12,-78.512460,38.034530,19
12,-78.512829,38.034680,20
12,-78.513460,38.035090,21
12,-78.513660,38.035210,22
12,-78.513700,38.035220,23
12,-78.513810,38.035230,24
12,-78.514050,38.035220,25
12,-78.514120,38.033950,26
12,-78.514160,38.033580,27
12,-78.514250,38.033220,28
12,-78.514580,38.032540,29
12,-78.514030,38.032340,30
12,-78.513620,38.032240,31
12,-78.513480,38.032220,32
12,-78.512770,38.032200,33
12,-78.512230,38.032140,34
12,-78.512110,38.032110,35
12,-78.511021,38.031488,36
12,-78.512185,38.030678,37
12,-78.513539,38.029786,38
12,-78.514000,38.029595,39
12,-78.514713,38.029493,40
12,-78.515866,38.030195,41
12,-78.516319,38.029400,42
12,-78.516430,38.029120,43
12,-78.516470,38.028680,44
12,-78.516460,38.027590,45
12,-78.516390,38.027390,46
12,-78.516360,38.027270,47
12,-78.516099,38.027110,48
12,-78.515620,38.026790,49
12,-78.515490,38.026690,50
12,-78.515320,38.026500,51
12,-78.514979,38.025890,52
12,-78.514920,38.025890,53
12,-78.514820,38.025900,54
12,-78.514619,38.025930,55
12,-78.514490,38.025950,56
12,-78.513310,38.026350,57
12,-78.512820,38.026660,58
12,-78.512350,38.026950,59
